大陆,凡国名称,疆域位置,都城或中心,庇护关系,已有人设角色,境界与权力边界,制度与生活摘要,来源蓝图
星坠大陆,九河皇朝,灵界-星坠大陆-九河平原-河洛城,河洛城。,庇护：与万象学宫及沿河诸宗订有护国盟约；皇朝供应粮税、土地和基层人才，超出凡国应对能力的修士威胁由护国宗门介入。,陆衡川（金丹后期） / 苏浣渠（金丹后期） / 田穗穗（筑基后期）,最高金丹；高阶冲突依赖宗门庇护,统治九河平原的人族皇朝，是星坠大陆人口、粮食与河运的基础。,世界书/灵界/星坠大陆/星坠大陆蓝图.md
星坠大陆,烟水十二城盟,灵界-星坠大陆-烟水云泽-镜花城,无固定都城，镜花城承担盟会与外交职能。,庇护：镜心乐府负责维持护城幻阵并威慑高阶修士；水盟则提供弟子、税赋与演出资源。,顾照蘅（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,烟水云泽十二座岛城组成的松散联盟，以文化、商贸和水运维系共同利益。,世界书/灵界/星坠大陆/星坠大陆蓝图.md
星坠大陆,长风牧国,灵界-星坠大陆-长风牧野-风籁城,风籁城；王庭仍会随季节迁往不同牧场。,庇护：各部共同供养数个传统修行宗门，并通过天衡之约获得大陆势力保护；国主不能直接号令这些宗门。,赫连青野（金丹后期） / 姬逐风（金丹后期） / 阿牧（筑基中期）,最高金丹；高阶冲突依赖宗门庇护,长风牧野各部落、驿城与牧场共同组成的盟国，人族为主，也接纳神族旁支和其他族群。,世界书/灵界/星坠大陆/星坠大陆蓝图.md
星坠大陆,南溟商国,灵界-星坠大陆-南溟海门-天槎港,天槎港。,庇护：观潮舟宗依盟约保护港口、航路与跨大陆传送枢纽；商国承担船坞、补给和弟子供养。,沈千帆（金丹后期） / 安澜（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,围绕天槎港、岛链和飞舟航线形成的商贸国家，居民来源复杂，以人族为主。,世界书/灵界/星坠大陆/星坠大陆蓝图.md
圣银大陆,白垣七城盟,白垣台原主体，并管理通往天冠、月桂、赤陶和琴浪的主干道路。,柱环城。,庇护：明辩学宫负责制度、阵法、外交和调停，银盾战庭负责元婴以上武力、重大灾害和跨邦防御。七城提供学田、粮饷、公共经费、驿站和弟子来源。；庇护边界：两宗不得任免城使、控制税率、取消公开审理或以高阶威压干涉选举；七城也不得要求宗门替某一城镇压合法政治反对者。,顾雅声（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,白垣台原七座主要城邦组成的政治与经济联盟，柱环城是常驻议事地，但各城保留自己的法律、公民制度与地方节庆。,世界书/灵界/圣银大陆/圣银大陆蓝图.md
圣银大陆,琴浪海邦,琴浪内海主要岛链、半岛港口和断柱海门内侧水域。,千帆城。,庇护：银盾战庭直接提供海门、航线和港口的高阶庇护。海邦提供港务收入、船坞、补给、航图和普通船员，九艺诗院协助保存航海口述史与安抚海难幸存者。；庇护边界：银盾战庭不得垄断商路、指定运价或因政治争端封锁守约岛屿；海邦不得隐瞒高阶航路风险以维持贸易。,鲛绡（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,主岛城邦、港口、船坞岛和海族水庭组成的松散海邦，以共同航法、救援义务和商贸标准维系。,世界书/灵界/圣银大陆/圣银大陆蓝图.md
圣银大陆,丰穗田邦,丰穗丘原及月桂谕谷南部若干农业河谷。,穗冠城。,庇护：月桂医谕院负责疫病、灵植、旱灾和医疗，十二柱神庭负责元婴以上敌对修士及破坏大型盟约阵的威胁。田邦提供粮食、药田、道路和公共诊疗经费。；庇护边界：两宗不得占有田邦公共粮仓、决定农产品收购价、干预村社婚姻或以传承需要无限征地；田邦不得扣留救灾药材作为政治筹码。,苏禾晏（金丹后期） / 丰穗晴禾（筑基后期）,最高金丹；高阶冲突依赖宗门庇护,河谷城镇、村社、庄园、灵族果园和牧区组成的农业联盟，以水权、公共粮仓和灾年互助为共同基础。,世界书/灵界/圣银大陆/圣银大陆蓝图.md
圣银大陆,赤陶工城联合,赤陶火岭主要安全地脉、矿区和通往琴浪内海的货运走廊。,赤陶城。,庇护：赤陶百工宗提供大型阵器、地脉技术和宗门修士，银盾战庭负责外敌支援。工城提供矿权份额、工坊税、学徒、维修订单和公共试验场。；庇护边界：百工宗不得垄断民间图样、强买通灵作品或控制行会选举；工城不得强迫宗门为不安全工程背书。,祝砂音（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,赤陶城及周边炉镇、矿村、温泉城和家庭作坊区组成的工匠政体，以行会契约、公共安全和作品署名维系。,世界书/灵界/圣银大陆/圣银大陆蓝图.md
圣银大陆,苍角牧盟,苍角牧原、圣山东北山口及通往断柱海门的陆路走廊。,逐风城，盟会会随季节在主要泉地轮换召开。,庇护：银盾战庭维护主驿道、警烽阵和高阶安全。牧盟提供坐骑、斥候、补给、驿站与普通弟子来源。；庇护边界：战庭不得永久占用牧场、封闭公共泉眼或以训练为名改变迁徙路线；牧盟不得拒绝对所有守约旅客开放救援驿站。,苍角流云（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,迁徙部族、固定驿城、人族牧场、妖族群落和商道泉盟组成的部族联盟，共同维护迁徙权、水源和陆路安全。,世界书/灵界/圣银大陆/圣银大陆蓝图.md
灵境大陆,芳洲国,芳洲沃野的大部分村镇及叠翠南麓部分驿镇，以芳津城为都；独立宗门山场和百花林社不自动归入王土。,芳洲沃野的大部分村镇及叠翠南麓部分驿镇，以芳津城为都；独立宗门山场和百花林社不自动归入王土。,庇护：百卉负责主要人口区护持、灵植灾害与林缘安全，四时观负责流域预警和调候技术；元婴以上外敌由两宗按就近原则先行应对，不能等待分清账目才救援。,姚穗宁（金丹后期） / 桑晚织（筑基后期）,最高金丹；高阶冲突依赖宗门庇护,由战后治水聚落逐渐联合而成的世袭王国；王室主持政务，县官、地方议事乡老和水利代表参与税役安排。,世界书/灵界/灵境大陆/灵境大陆蓝图.md
灵境大陆,白璧诸城,北部矿城及栖霞丹壑的霞陶等南部成员城，以璧泉城为常设议事地；成员城之间有独立乡村与宗门领地，并非连续严密统治全北部。,,庇护：衡岳为联盟主要护国宗门，负责元婴以上外敌和重大地脉威胁；绛霞按辖地协议承担丹壑的地火与驻地安全，必要时两宗协作。,关砚秋（金丹中期） / 朱釉娘（筑基后期）,最高金丹；高阶冲突依赖宗门庇护,各城自治，轮值议事；矿工行会、工坊、商路和居民推举代表，矿主不能独占所有席位。,世界书/灵界/灵境大陆/灵境大陆蓝图.md
灵境大陆,镜泊国,镜泊湖岸、水道沿线及听潮海阶主要港务聚落，以照汀城为都，泊霞港设独立预算的港务辖署；百花林社内部自治不受其直接任命。,镜泊湖岸、水道沿线及听潮海阶主要港务聚落，以照汀城为都，泊霞港设独立预算的港务辖署；百花林社内部自治不受其直接任命。,庇护：水府负责元婴以上外敌、重大水患和虚海险情的专业应对；普通护航仍须依据航程与风险订约，不能承诺所有航次绝对安全。,柳汀仪（金丹后期） / 裴济舟（筑基后期）,最高金丹；高阶冲突依赖宗门庇护,王室主持外交和官员任命，沿湖水议参与渔汛、税费与水利；船帮、岸村和港口商会均有陈情渠道。,世界书/灵界/灵境大陆/灵境大陆蓝图.md
灵境大陆,长晴国,长晴丘陵主要农区、集镇和驿路，以晴酿城为都；西北高山村社按各自盟约处理，不把整片叠翠归入王国。,长晴丘陵主要农区、集镇和驿路，以晴酿城为都；西北高山村社按各自盟约处理，不把整片叠翠归入王国。,庇护：绛霞为正式护国宗门，负责元婴以上外敌及重大器物、阵法事故，在晴酿设驻点以减少远距响应迟延；医疗合同不把素问山变为第二护国宗门。,苏晴棠（金丹中期） / 宁秤月（筑基中期）,最高金丹；高阶冲突依赖宗门庇护,世袭小国，王廷规模较小，乡社与作坊代表参与山塘、道路和市场规制。,世界书/灵界/灵境大陆/灵境大陆蓝图.md
万兽大陆,百川国,百川沃野地面田园及北部霜川谷沿线聚落，都城会川城；通壤城盟拥有独立地下自治范围。,百川沃野地面田园及北部霜川谷沿线聚落，都城会川城；通壤城盟拥有独立地下自治范围。,庇护：镇岳山盟承担高阶外敌、巨兽侵袭和重大山体灾害；回澜府按水务协议提供重大水患协援，不重复掌握国政。,牛穗宁（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,国主主持行政，渠田议事由各县与渠社代表参加；下设田曹、水曹、仓曹、路曹与市署。,世界书/灵界/万兽大陆/万兽大陆蓝图.md
万兽大陆,丹翎崖国,,,庇护：千翎崖负责高阶外敌、危险风道与大规模空中事故。,雁书遥（金丹中期）,最高金丹；高阶冲突依赖宗门庇护,各崖居推举巢使，合议推选俗务执政；下设风路署、谷市署、泉池署、巢居调解所。,世界书/灵界/万兽大陆/万兽大陆蓝图.md
万兽大陆,青萝山国,青萝叠嶂主要山城、梯园与道路，中心萝阴城；九曲丘、回芳谷的修行祖地另列。,青萝叠嶂主要山城、梯园与道路，中心萝阴城；九曲丘、回芳谷的修行祖地另列。,庇护：九曲丘处理高阶外敌与祖地冲突；回芳谷负责重大疫病、药害与诊疗协援，保护药谷通路。,獾小满（金丹初期）,最高金丹；高阶冲突依赖宗门庇护,各山城推举山令组成山议，轮值山君主持俗务；设园曹、桥曹、药市署、客籍署。,世界书/灵界/万兽大陆/万兽大陆蓝图.md
万兽大陆,通壤城盟,百川沃野西缘丘陵的分层洞城及合法出入口，中心通壤城；地面大部分仍属百川国。,,庇护：百工巢负责重大塌方、地脉危险及高阶入侵；涉及地面共同灾害与镇岳山盟协作。,穿石婉（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,各洞街推举街首组成城议，选城使处理外交；设风务、井务、梁柱、仓路四署。,世界书/灵界/万兽大陆/万兽大陆蓝图.md
万兽大陆,盐泉驿盟,赤砾长原各井寨、盐湖及主要驿路，中心盐泉城；荒野迁徙地不全部划为私产。,,庇护：伏蜇洞负责洞带、毒害和毒修外敌；镇岳山盟负责主驿路、山口与大型兽患，交界案件双方联合。,沙问泉（金丹中期）,最高金丹；高阶冲突依赖宗门庇护,井寨、盐场和驿城代表共议，推举驿盟执事；设井务、盐务、路务与夜市署。,世界书/灵界/万兽大陆/万兽大陆蓝图.md
万兽大陆,绮罗国,绮罗烟谷的花圃、桑田、世俗工坊和城镇，都城绮罗城。,绮罗烟谷的花圃、桑田、世俗工坊和城镇，都城绮罗城。,庇护：经纬宫负责高阶外敌与城防织阵；百工巢承担工程、巢区灾害及公共设施保全。,蝶绮禾（金丹中期）,最高金丹；高阶冲突依赖宗门庇护,织坊、田园、巢居与独立街区代表共同推举国主；下设桑田署、工契署、共养署、溪渠署。,世界书/灵界/万兽大陆/万兽大陆蓝图.md
万兽大陆,镜汀城盟,镜汀淡水湖群的水下街区、岸城和岛田，中心镜汀城。,,庇护与供养：回澜府承担高阶外敌、重大水患及危险水脉异常；城盟提供珠料、水田产出、维修劳务及灵石。,蚌含珠（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,### 镜汀城盟（淡水诸城联盟） - 疆域与中心: 镜汀淡水湖群的水下街区、岸城和岛田，中心镜汀城。 - 居民与政体: 江河水族、水鸟、两栖与岸居妖族；各水汊与岸城推举城使，轮值执政最高金丹。 - 组织与军事: 汊务署、岸市署、田渔署、巡流队；低阶巡护与疏散水门，高阶武力依赖回澜府。 - 庇护与供养: 回澜府承担高阶外敌、重大水患及危险水脉异常；城盟提供珠料、水田产出、维修劳务及灵石。 - 边界与制衡: 府中不得为了闭关无限截断生活水，紧急调水由府与盟共同公告；上下游争议与百川国协商，重大案件送山泽会馆。 - 经济与信仰: 珠料、水草、莲藕、船运；祭水源与开汊先祖。 - 节庆与禁忌: 莲灯会、开汊祭；不得在有人居水域随意投网、投药。 - 对外: 连接中央粮运、南部工坊与潮生河口，维护候鸟临时泊地。 - 组织: - 镜汀城盟轮值执政，驻镜汀城。: 金丹后期 蚌含珠(御姐)（种族=妖族（河蚌）） 外貌与着装: 已化形，珠灰发、肤色柔润、指尖微亮；原身壳内浅紫，休养时留在水下宅院。,世界书/灵界/万兽大陆/万兽大陆蓝图.md
