分类,名称,五行,品阶,悟性,根骨,气感,效果
无特效,凡骨,土,凡体,10,10,10,无
无特效,灵慧凡躯,水,凡体,14,8,8,无
无特效,朴拙凡躯,金,凡体,8,14,8,无
无特效,灵敏凡躯,木,凡体,8,8,14,无
战斗,蛮力之躯,土,灵体,14,22,14,[蛮力:战斗中，使用徒手或重兵器进行近身攻击时，攻击力视为+15%]
战斗,赤焰灵体,火,灵体,16,16,18,[亲火:战斗中，使用火属性功法时，攻击力视为+15%][御寒:免疫不高于自身境界的严寒环境影响]
战斗,寒霜玉体,水,灵体,16,14,20,[寒脉:战斗中，使用水或冰属性功法时，攻击力视为+15%][畏炎:战斗中，受到火属性攻击时，减免视为-10%]
战斗,玄龟灵体,土,灵体,12,24,14,[龟甲:战斗中，受到近身攻击时，减免视为+10%][迟重:战斗中，闪避视为-1]
战斗,朱雀灵躯,火,灵体,15,17,18,[火羽:战斗中，使用火属性功法时，攻击力视为+10%][浴火余烬:战斗中，每场战斗首次受到火属性攻击后，于本轮结束时气血恢复量视为该次实际损失气血的15%]
战斗,风行灵体,木,灵体,15,15,20,[风行:战斗中，使用身法时，遁速视为+15%][借风:战斗中，第一轮的闪避视为+1]
战斗,炎阳血躯,火,灵体,14,21,15,[烈血:战斗中，气血低于50%且使用火属性功法时，攻击力视为+15%][耐灼:战斗中，受到火属性攻击时，减免视为+10%]
战斗,地脉石胎,土,灵体,13,23,14,[石肤:战斗中，受到近身攻击时，减免视为+10%]
战斗,幽冥灵体,阴,灵体,18,14,18,[幽行:战斗中，使用阴属性功法时，攻击力视为+15%][冥定:战斗中，每场战斗首次遭受同境及以下敌人施加的恐惧时，免疫该次恐惧效果]
战斗,明光净体,阳,灵体,18,16,16,[明光:战斗中，使用阳属性功法时，攻击力视为+10%][净秽:战斗中，每场战斗首次遭受同境及以下敌人施加的侵蚀时，免疫该次侵蚀效果]
战斗,潮汐灵体,水,灵体,17,15,18,[潮息:战斗中，使用水属性功法时，灵气消耗视为-10%][回潮:战斗中，每场战斗首次气血低于50%时，下一次获得的气血恢复量视为+15%]
战斗,山岳灵体,土,灵体,12,25,13,[山躯:战斗中，受到近身攻击时，减免视为+12%][沉身:战斗中，闪避视为-1]
战斗,琉璃净体,混沌,灵体,20,14,16,[澄心:战斗中，每场战斗首次遭受同境及以下敌人施加的幻觉时，免疫该次幻觉效果][净识:战斗中，使用神识功法时，灵气消耗视为-10%]
战斗,天蚕灵体,木,灵体,16,19,15,[柔筋:战斗中，受到近身攻击时，闪避视为+1][绵劲:战斗中，使用护体功法时，减免视为+10%]
战斗,血煞灵体,阴,灵体,14,22,14,[血战:战斗中，气血低于50%且进行近身攻击时，攻击力视为+15%][煞脉:战斗中，气血恢复量视为-10%]
战斗,流光灵体,金,灵体,18,14,18,[流光御器:战斗中，每场战斗首次使用法宝进行攻击检定时，命中视为+1][轻御:战斗中，使用法宝攻击时，灵气消耗视为-10%]
战斗,蜃梦灵体,水,灵体,20,12,18,[蜃景:战斗中，进行幻术意图对抗时，幻术视为+15%][识梦:战斗中，每场战斗首次作为幻术意图对抗的守方时，幻术视为+10%]
