"序号","开局ID","开局名称","副标题","类型","剧情剧本","推荐难度","简介","起始时间","宗门或起点","初始境界","当前代码约束","剧情语义种族要求","必须人族","人形或可化形要求","种类输入必须留空","剧本强制种类","风险与管理建议","标签"
"1","story-zayou","问道之始","初访修行之门","通用","否","寻常修行 / 砺心问道","招生别院里，测灵盘接连亮起。轮到你时，考官却收起名册，让你先解开桌上一只奇怪的铜环。","7203-01-05 辰时","随所选门派；未选为散修","炼气初期","须有灵根；形态：必须为人形；不可：无；出生地须对种族开放（冥界仅冥族）","不限主种族","否","天然人形或开启可化形","否","无","正文适配所选界域、种族与形态；宗门沿用玩家选择；返回重选及预设读取时撤销失效选择",""
"2","story-yinyu","萍水仙缘","偶遇一位过客","通用","否","寻常修行","客店拼桌的陌生修士托你辨认一张旧图，图上的标记竟指向附近一座封门多年的院落。","7156-11-12 酉时","随所选门派；未选为散修","炼气初期","须有灵根；形态：必须为人形；不可：无；出生地须对种族开放（冥界仅冥族）","不限主种族","否","天然人形或开启可化形","否","无","正文适配所选界域、种族与形态；宗门沿用玩家选择；返回重选及预设读取时撤销失效选择",""
"3","story-fuchou","劫后余途","故地已失，前路未定","通用","否","砺心问道 / 逆天改命","旧居遭袭后，你暂住客店，借一枚残缺印记追查来人。深夜，有人从门缝塞进一张写着旧日暗号的纸。","7188-07-22 寅时","随所选门派；未选为散修","炼气后期","须有灵根；形态：必须为人形；不可：无；出生地须对种族开放（冥界仅冥族）","不限主种族","否","天然人形或开启可化形","否","无","正文适配所选界域、种族与形态；宗门沿用玩家选择；返回重选及预设读取时撤销失效选择","旧怨"
"4","story-dadao","旧梦问道","似曾相识的修行片段","通用","否","小道悠游","反复入梦的授业声让你听出一场讲法中的缺句。讲席上的老修士因此停下，追问你从哪里学过。","7301-03-03 卯时","随所选门派；未选为散修","炼气初期","须有灵根；形态：必须为人形；出生地须对种族开放（冥界仅冥族）","不限主种族","否","天然人形或开启可化形","否","无","正文适配所选界域、种族与形态；宗门沿用玩家选择；返回重选及预设读取时撤销失效选择","旧梦"
"5","story-liuli-shennong","试药谷 · 尝百草","神农遗脉，以百草为食","特殊","是","寻常修行 / 砺心问道","流芳岛试药谷中长大的凡人，以采食山间药草为生；毒堂长老林蘅芷偶遇后心生莫名亲近，竟发现此人毒免疫——原是神农氏之后，识海深处还沉着一册无字玉简。","7218-03-16 酉时","琉璃丹宗（林蘅芷引荐入谷）","炼气初期","须有灵根；出生地：流芳岛；种族：人族；不可：无；门派：无 / 散修 / 琉璃丹宗弟子；出生地须对种族开放（冥界仅冥族）","人族","是","不限制化形开关","否","无","神农血脉限定人族；剧情含引气过程，开局变量为炼气初期；固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","琉璃丹宗 / 神农遗脉 / 无字玉简"
"6","story-wudu-init","走出瘴林 · 万毒祖窟","入门测验中的一场豪赌","特殊","是","砺心问道 / 逆天改命","于雨瘴林中参加五毒教入门测验，饥寒交迫、四下皆毒；走投无路吞下一枚《百毒经》未载的五彩怪果，醒来识海凭空多了一门神识蛊法，与一句唤你前往""万毒祖窟""的低语。","7231-04-09 巳时","五毒教（入门试炼）","炼气初期","须有灵根；出生地：雨瘴林；种族：人族 / 巫族 / 神族 / 妖族 / 魔族；形态：必须为人形；不可：无；门派：无 / 散修 / 五毒教弟子；出生地须对种族开放（冥界仅冥族）","人族 / 巫族 / 神族 / 妖族 / 魔族","否","天然人形或开启可化形","否","无","进食与血肉生理限定生物类人形；固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","五毒教 / 奇遇"
"7","story-luowu-mirror","遗镜归宗 · 溯光寻亲","母亲遗物中沉睡的萝武传承","特殊","是","寻常修行 / 砺心问道 / 逆天改命","云游切磋的白蕊弦偶然发现，你体内竟运转着萝武门心法；母亲留下的溯光鉴封存着功法、技艺与四段记忆，唯有突破大境界才能逐次解锁。为追查母亲之死，她决定带你返回萝武门。","7232-08-17 申时","萝武门（归宗途中）","炼气初期","须有灵根；出生地：灼华山；性别不可为：女；种族：人族 / 巫族 / 神族 / 妖族 / 魔族；形态：必须为人形；不可：无；门派：无 / 散修 / 萝武门弟子；出生地须对种族开放（冥界仅冥族）","人族 / 巫族 / 神族 / 妖族 / 魔族","否","天然人形或开启可化形","否","无","固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","萝武门 / 奇遇 / 身世"
"8","story-luowu-nuwa","陨星换心 · 女娲遗石","本应死去的人，胸中响起石心","特殊","是","砺心问道 / 逆天改命","中原忽降陨星，你被正面砸中却没有死去；赶来查看的萝武门修士发现，你原本的心脏已被陨石替代，石中还残留着疑似源自九天玄女的力量。","7233-03-21 戌时","萝武门（陨星救治）","炼气初期","须有灵根；出生地：灼华山；性别：女；种族：人族 / 巫族 / 神族 / 妖族 / 魔族；形态：必须为人形；不可：无；门派：无 / 散修 / 萝武门弟子；出生地须对种族开放（冥界仅冥族）","人族 / 巫族 / 神族 / 妖族 / 魔族","否","天然人形或开启可化形","否","无","固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","萝武门 / 奇遇 / 女娲石"
"9","story-guanghan-twin-fish","双鱼佩引 · 月下重逢","她终于等到故人的转世","特殊","是","小道悠游 / 寻常修行","月圆之夜，伴生玉佩忽然发热，引来广寒宫主慕璇玑。她认出你是昔日故人的转世，并决定不再错过，破例带你前往广寒宫。","7234-08-15 子时","广寒宫（破例入宫）","炼气初期","须有灵根；出生地：霜花岛；性别不可为：女；种族：人族 / 巫族 / 神族 / 妖族 / 魔族；形态：必须为人形；不可：无；门派：无 / 散修 / 广寒宫弟子；出生地须对种族开放（冥界仅冥族）","人族 / 巫族 / 神族 / 妖族 / 魔族","否","天然人形或开启可化形","否","无","固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","广寒宫 / 转世 / 慕璇玑 / 双鱼同心佩"
"10","story-guanghan-frozen-qilin","湖心冰棺 · 劫前遗民","与麒麟幼崽一同苏醒","特殊","是","寻常修行 / 砺心问道 / 逆天改命","月华湖地动开裂，一块古老冰晶浮出湖面；你与怀中的麒麟幼崽被封存其中，衣饰与口音皆似大劫前的古修士，却只记得守护幼崽的使命。","7235-11-06 卯时","广寒宫（湖底获救）","炼气初期","须有灵根；出生地：霜花岛；性别：女；形态：必须为人形；不可：无；门派：无 / 散修 / 广寒宫弟子；出生地须对种族开放（冥界仅冥族）","不限主种族","否","天然人形或开启可化形","否","无","固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","广寒宫 / 大劫前 / 麒麟幼崽 / 失忆"
